Area_sqft,Bedrooms_BHK,Age_of_house,Floors,Distance_to_city_center_km,Property_tax_value,Location,House_type,Facing_direction,Furnishing,Nearby_schools_rating,Crime_rate,Parking_available,Road_width_ft,Amenities,Nearby_hospital_distance_km,Nearby_main_road_distance_km,Nearby_bus_stop_distance_km,Nearby_metro_distance_km,Traffic_density,Pollution_index,Demand_index,Appreciation_rate,Competitor_properties_nearby,Loan_amount,Loan_approved,Down_payment,Monthly_EMI,Household_income,Seller_type,Renovation_required,Condition_rating,Construction_material,Water_supply_type,Electricity_backup,Price_range_class,Sold
1169,3,3,2,17.03,2186,Bhubaneswar,Apartment,South,Fully Furnished,1.4,3.2,No,32,"Pool,Lift,Security",4.21,1.42,0.25,5.86,2.3,146,5.74,5.53,12,1367862,0,1405524,180849,439428,Builder,0,3,Brick,Municipal,No,0,0
2791,5,48,1,12.76,3564,Chennai,Apartment,North,Semi Furnished,1.4,5.7,Yes,65,"Lift,Gym",5.74,2.45,2.51,1.08,6.8,99.8,9.84,3.57,1,3116667,1,880848,125175,95599,Owner,0,1,Concrete,Borewell,No,1,1
2833,3,3,2,13.08,8813,Chennai,Villa,West,Semi Furnished,1.8,3.4,Yes,54,"Lift,Garden",8.79,6.18,0.88,0.37,4,186.5,3.42,10.15,0,1067623,0,1245564,172429,63412,Builder,1,4,Brick,Borewell,Yes,1,1
5711,2,24,1,18.09,3909,Mumbai,Studio,South,Unfurnished,2.9,2.8,No,30,"Security,Clubhouse",12.76,4.69,1.44,5.19,3.9,73.8,1.19,10.73,4,3946702,0,576915,66423,419242,Owner,1,4,Mixed,Both,Yes,2,1
5451,1,32,2,26.92,28858,Bangalore,Duplex,East,Unfurnished,3.4,1.4,Yes,73,"Playground,Garden,Gym",0.68,0.7,4.4,5.26,8.9,49.7,9.24,7.42,0,3342034,1,1671804,191493,166278,Owner,1,3,Brick,Borewell,No,2,0
1584,4,13,2,24.85,10469,Kolkata,Duplex,East,Fully Furnished,3.8,1.9,No,95,"Security,Gym",6.89,1.78,3.08,5.13,4.9,187.6,5.66,12.54,10,728397,1,245453,106010,417212,Owner,1,2,Mixed,Municipal,No,1,0
4955,5,23,4,37.52,19866,Bhubaneswar,Duplex,West,Unfurnished,2.9,6.1,No,11,"Pool,Lift,Playground",0.58,1.17,4.93,0.92,8.5,182.4,2.3,10.73,6,4697126,1,1115605,180152,85014,Agent,0,2,Mixed,Borewell,Yes,2,0
3785,1,10,3,20.95,26288,Delhi,Studio,East,Fully Furnished,3.7,2.8,No,53,"Clubhouse,Playground,Garden,Gym",4.67,0.32,4.75,2.88,9.1,23.6,2.01,9.27,10,937184,0,1579738,120092,77798,Agent,1,3,Brick,Municipal,Yes,2,0
4517,1,24,4,19.17,23266,Bhubaneswar,Apartment,South,Unfurnished,4.4,5.5,Yes,18,"Playground,Clubhouse",6.44,1.6,2.27,1.47,9.5,193,9.78,14.21,3,4214068,0,247822,168331,184348,Builder,1,3,Concrete,Municipal,No,2,1
5243,3,27,3,8.93,25362,Delhi,Apartment,East,Semi Furnished,2.5,6.8,No,99,"Security,Playground,Garden",7.25,4.57,3.32,3.85,8.1,125.3,4.36,2.97,10,1890624,0,1691183,147112,340735,Owner,0,2,Concrete,Both,Yes,2,1
3304,2,6,2,30.34,15543,Chennai,Apartment,West,Fully Furnished,3.8,3.3,No,93,"Clubhouse,Security,Lift",11.24,0.2,4.75,3.99,4.9,194,5.95,3.39,1,1366039,0,733438,175057,427612,Owner,1,4,Brick,Both,Yes,2,0
874,3,48,1,6.06,12069,Bhubaneswar,Villa,North,Semi Furnished,3.6,9.5,No,50,"Playground,Security",11.12,6.74,3.94,0.25,2.4,103.9,3.78,7.79,11,4660824,0,995297,14248,174401,Agent,0,3,Concrete,Both,No,0,1
1482,2,35,4,19.9,16609,Pune,Apartment,North,Semi Furnished,3.5,3.3,No,88,"Playground,Garden,Pool,Security",5.02,1.71,3.31,6.16,5.8,184.2,1.16,1.82,6,2722121,0,1949799,60396,373852,Builder,1,2,Brick,Borewell,No,0,1
2958,3,9,1,17.14,14652,Mumbai,Apartment,South,Fully Furnished,3.3,2.5,No,49,"Pool,Gym",5.82,2.11,3,1.9,4.5,172.5,7.94,14.16,6,945170,0,337411,43327,23910,Owner,1,2,Concrete,Borewell,No,1,0
2447,1,48,4,26.5,15789,Kolkata,Apartment,South,Unfurnished,3.9,5.1,No,67,"Gym,Security,Playground",4.26,0.34,2.76,7.47,2.5,37.1,6.29,11.01,8,2477291,1,157231,190894,209765,Owner,1,3,Mixed,Both,No,1,0
3147,4,35,4,36.75,18320,Hyderabad,Duplex,South,Fully Furnished,4.3,5,Yes,94,"Clubhouse,Security",6.18,0.58,0.78,4.89,9.6,61.7,6.58,5.01,6,2195998,0,536241,39807,240206,Agent,1,2,Concrete,Borewell,Yes,2,1
1375,2,30,4,37.89,14755,Delhi,Independent House,South,Semi Furnished,2.6,8.7,Yes,88,"Clubhouse,Garden,Playground,Pool",5.42,6.99,0.62,7.27,8.9,50.7,7.15,6.21,2,3965680,1,1545122,157411,312082,Owner,1,2,Mixed,Borewell,Yes,0,1
2206,5,18,1,7.13,11840,Hyderabad,Apartment,West,Semi Furnished,3.6,1.4,No,32,"Lift,Gym,Playground,Security",10.14,2.41,1.28,6.6,8.1,98.2,2.36,3.31,9,1697882,1,1348194,31320,202836,Builder,1,1,Concrete,Municipal,No,1,1
589,5,17,4,10.84,3924,Kolkata,Independent House,North,Semi Furnished,2,3.5,Yes,78,"Garden,Security,Playground,Gym",2.39,4.79,2.91,4.43,2.9,95.7,4.46,3.38,0,363844,1,431747,12798,368820,Owner,0,1,Mixed,Both,Yes,0,0
3134,1,48,4,32.56,4698,Chennai,Apartment,North,Semi Furnished,4,8.9,Yes,43,"Garden,Playground",0.92,5.28,4.66,4.84,9.3,97.4,5.21,1.56,11,3704629,1,908560,122004,158442,Agent,1,2,Brick,Borewell,Yes,2,0
3405,3,5,4,20.97,13991,Chennai,Duplex,West,Fully Furnished,4.5,7.8,Yes,33,"Playground,Pool,Garden",0.79,3.51,2.03,3.41,3.1,154.7,7.86,2.83,5,2562657,0,1154924,197219,475725,Builder,0,3,Mixed,Municipal,No,2,1
5058,3,27,1,18.39,17161,Chennai,Duplex,East,Fully Furnished,4,1,Yes,35,"Gym,Security,Pool",14.5,3.29,4.31,3.23,9.4,140.9,6.71,3.88,9,4941380,0,1040869,139858,325078,Owner,1,4,Concrete,Municipal,Yes,2,1
2299,1,6,4,28.57,27873,Hyderabad,Independent House,North,Fully Furnished,3,5.8,Yes,81,"Security,Clubhouse",4.07,2.42,0.21,2.18,8.2,124.1,4.92,13.33,7,1199121,1,304470,35641,321300,Agent,0,2,Concrete,Municipal,No,1,0
1667,5,37,1,24.28,27927,Kolkata,Duplex,West,Fully Furnished,1.5,3.2,Yes,17,"Security,Lift,Gym",11.12,4.94,3.73,1.17,7.7,96.8,4.59,8.08,11,4797934,0,340072,52469,259550,Agent,0,1,Brick,Both,No,1,0
1928,5,11,3,38.84,13100,Pune,Villa,East,Semi Furnished,4.5,9.9,Yes,79,"Playground,Clubhouse,Gym",10.93,3.73,0.54,0.67,10,57.5,7.94,11.05,7,4873189,1,994128,152468,74609,Owner,0,1,Mixed,Borewell,Yes,1,0
3602,3,40,4,23.57,28807,Chennai,Studio,South,Unfurnished,4.3,9.9,Yes,99,"Garden,Security",12.63,3.05,4.51,4.91,5.5,75.9,5.87,14.28,2,3950732,0,962821,174704,95725,Owner,1,1,Mixed,Municipal,Yes,2,0
3956,2,49,2,18.91,17253,Chennai,Studio,North,Fully Furnished,3.8,9.3,Yes,43,"Playground,Pool",6.13,1.15,2.47,4.97,4.6,55.7,9.88,8.31,2,2012108,0,744878,8100,263681,Builder,1,3,Concrete,Municipal,No,2,0
4290,4,33,3,21.94,16135,Hyderabad,Apartment,West,Semi Furnished,4.4,1.1,No,61,"Clubhouse,Garden,Pool,Security",9.9,4.71,2.59,2.18,8.7,172.3,1.24,7.95,7,1815013,1,1268248,186306,374919,Builder,0,1,Mixed,Borewell,No,2,0
1046,2,24,1,32.44,28604,Chennai,Duplex,North,Fully Furnished,3.1,9.1,Yes,53,"Clubhouse,Gym,Playground",5.76,3.11,4.6,2.61,7.5,43.2,7.88,13.7,2,1989371,1,1821098,184822,232185,Owner,1,1,Brick,Municipal,No,0,0
3288,5,16,2,24.7,27793,Kolkata,Studio,North,Semi Furnished,5,3.9,Yes,88,"Garden,Lift,Security,Gym",3.9,0.82,2.25,3.73,6.9,54,2.34,7.58,9,4959304,0,159639,25475,293649,Builder,1,2,Concrete,Municipal,No,2,0
5793,2,32,1,26.06,18655,Bangalore,Independent House,West,Unfurnished,4.3,6.8,Yes,91,"Pool,Garden,Clubhouse",14.8,2.47,4.52,2.16,4.1,107.3,8.79,2.84,7,3301323,0,1036714,160825,55865,Agent,1,4,Concrete,Both,No,2,0
2835,4,22,1,38.87,19707,Delhi,Independent House,South,Unfurnished,1.7,5,No,75,"Security,Gym,Garden,Clubhouse",13.6,0.42,3.44,4.86,7.3,166.3,3.47,7.17,12,2010677,0,1746952,194040,204237,Agent,0,2,Brick,Municipal,Yes,1,0
1000,2,8,4,24.93,9751,Bhubaneswar,Independent House,East,Fully Furnished,2.6,4.2,Yes,34,"Clubhouse,Pool",7.23,0.95,1.49,4.98,3.8,182.8,3.19,2.7,13,3937744,0,750082,47827,310479,Agent,1,1,Concrete,Both,Yes,0,1
2763,2,5,2,15.52,4243,Delhi,Apartment,West,Unfurnished,1.7,3.6,No,57,"Garden,Pool",9.31,6.96,0.4,2.21,5.8,120.7,5.7,9.6,1,4815825,1,779045,166014,61472,Agent,1,3,Concrete,Municipal,Yes,1,1
2461,2,1,1,27.81,17117,Pune,Studio,East,Semi Furnished,1.9,4.9,No,18,"Pool,Security",14.56,5.56,4.53,5.36,4.2,69.4,5.07,1.46,8,2658838,0,1381861,44239,23276,Owner,0,2,Brick,Borewell,No,1,1
641,2,37,3,26.55,21336,Chennai,Studio,West,Semi Furnished,3,3.7,No,25,"Garden,Gym",5.47,6.92,1.69,2.76,3.2,193.3,3.82,14.01,1,2782674,1,1245040,188873,272196,Builder,0,4,Concrete,Borewell,Yes,0,1
2441,1,8,4,1.05,18714,Kolkata,Studio,West,Fully Furnished,2.4,9.3,No,78,"Pool,Security,Garden,Lift",12.69,6.59,0.22,2.5,2.4,127.9,3.91,4.5,12,4394776,0,1021028,45260,247700,Builder,0,3,Brick,Municipal,Yes,1,0
3224,5,2,3,18.96,7871,Kolkata,Independent House,North,Unfurnished,4.6,4.9,No,34,"Playground,Pool",6.25,6.71,4.54,5.08,2.2,44.2,3.44,8.59,4,1004645,0,1620087,162247,36573,Builder,1,1,Mixed,Both,Yes,2,1
3012,4,15,3,29.84,21941,Chennai,Independent House,East,Unfurnished,1,9.5,No,53,"Security,Clubhouse",13.16,3.4,2.71,2.34,9.1,142.9,4.73,8.6,4,4948998,0,1471099,187715,270392,Agent,1,2,Brick,Both,No,2,0
1763,5,24,4,20.21,12859,Pune,Apartment,East,Semi Furnished,1,4.3,No,96,"Lift,Garden,Clubhouse",7.56,4.77,3.52,2.15,7.1,62.5,6.86,4.03,0,794853,0,247060,10529,93990,Builder,0,2,Mixed,Both,No,1,0
5886,1,23,1,31.3,12738,Pune,Villa,East,Semi Furnished,4.7,3.3,Yes,13,"Playground,Pool,Clubhouse,Garden",8.22,0.19,4.77,7.09,2.1,92.6,5.07,14.57,6,1685047,0,1065259,21782,199466,Builder,1,3,Concrete,Both,No,2,1
1878,1,46,3,18.31,13663,Bangalore,Studio,North,Semi Furnished,2,8.3,Yes,53,"Clubhouse,Playground,Pool",11.47,2.72,1.07,2.76,9.1,57.4,5.01,6.72,14,4210571,1,609633,139413,142431,Builder,0,3,Mixed,Borewell,No,1,1
2956,1,28,1,39.34,9564,Chennai,Apartment,West,Semi Furnished,1,5.7,Yes,92,"Playground,Pool,Security,Clubhouse",13.28,4.76,3.19,4.09,7,24.6,9.34,4.13,4,1251451,1,768868,75761,319209,Agent,1,1,Mixed,Municipal,Yes,1,0
1175,1,43,1,12.07,3827,Chennai,Independent House,North,Unfurnished,2.8,2.5,No,81,"Security,Playground,Garden,Pool",4.34,1.16,0.95,7.15,6.9,171.3,9.3,4.04,11,413622,0,1068035,158955,160582,Agent,1,3,Mixed,Municipal,Yes,0,1
4414,2,39,4,4.14,12027,Hyderabad,Villa,West,Fully Furnished,1.8,9.4,Yes,45,"Clubhouse,Playground",11.41,6.28,1.37,0.66,7.8,23,5.14,8.64,0,595270,1,1947929,53776,231711,Owner,1,4,Concrete,Borewell,No,2,1
434,5,25,3,17.49,28704,Kolkata,Duplex,West,Unfurnished,1.2,9.7,Yes,50,"Gym,Clubhouse,Lift,Playground",14.26,0.84,2.75,6.62,7.1,136.5,3.1,2.29,4,621573,0,765624,65256,381981,Owner,0,3,Brick,Borewell,No,0,1
3552,3,37,3,21.9,26333,Bhubaneswar,Villa,West,Unfurnished,3.1,7.2,Yes,26,"Garden,Playground,Security,Clubhouse",0.83,5.88,1.19,0.45,5.3,61.3,2.42,12.6,8,4756645,0,330615,176067,186110,Builder,1,3,Mixed,Borewell,Yes,2,1
2355,4,34,4,14.29,15148,Bangalore,Apartment,West,Semi Furnished,1.6,9.7,Yes,78,"Garden,Security,Lift",2.77,4.35,2.41,4.74,2.6,115.1,9.06,3.52,10,4263794,1,1536338,40272,471894,Agent,1,2,Brick,Both,Yes,1,1
1985,1,22,1,10.07,9184,Hyderabad,Villa,South,Semi Furnished,4.3,7.1,No,28,"Garden,Lift",5.64,6.03,0.18,3.48,3.3,181.9,5.26,14.77,8,1264413,0,643803,5965,90119,Builder,1,4,Mixed,Borewell,Yes,1,0
4343,5,3,1,27.05,26256,Hyderabad,Independent House,West,Semi Furnished,2.2,6.6,Yes,25,"Gym,Garden",11.9,1.65,3.28,7.52,3.3,165.9,7.85,9.61,13,1089993,1,991554,136849,395622,Builder,1,2,Brick,Borewell,Yes,2,1
3473,1,41,4,15.4,17571,Kolkata,Villa,North,Fully Furnished,1.9,8.4,No,70,"Security,Gym",8.99,4.5,3.85,7.86,7.7,48,6.27,2.96,4,4938679,1,1669948,32412,303814,Agent,0,3,Mixed,Municipal,Yes,2,1
1421,1,13,1,25.44,14128,Pune,Independent House,East,Fully Furnished,4,1.6,Yes,20,"Garden,Security",13.87,1.64,1.24,6.96,2.9,48.8,2.97,14.52,6,553064,0,1169714,149553,64056,Builder,1,3,Concrete,Borewell,No,0,1
3861,1,46,1,31.27,20557,Bangalore,Villa,West,Semi Furnished,4.4,5,No,11,"Gym,Lift",7.21,1.9,0.24,5.08,3.7,147.7,3.52,8.59,7,2184246,1,607860,173112,284355,Agent,1,4,Brick,Borewell,No,2,1
3013,1,38,3,30.56,5709,Chennai,Apartment,North,Semi Furnished,1.4,4.9,Yes,14,"Clubhouse,Playground",7.76,0.88,0.43,2.19,6.6,126.8,9.2,9.96,13,4729802,1,284552,114886,59733,Owner,1,3,Brick,Municipal,Yes,2,1
5625,1,6,1,15.32,2129,Delhi,Duplex,North,Unfurnished,1.6,6.6,No,73,"Playground,Gym",8.62,5.99,3.2,6.9,1.6,35.1,5.06,5.05,4,3931098,0,1954575,171076,178845,Agent,0,3,Brick,Borewell,No,2,0
4243,4,7,1,22.93,18016,Kolkata,Studio,North,Unfurnished,2.9,4.1,No,26,"Pool,Security,Clubhouse,Lift",13.65,5.63,5,0.46,7.2,119,5.89,4.76,1,4652209,0,962522,30694,359016,Owner,0,1,Concrete,Municipal,Yes,2,1
1900,5,41,1,18.26,24271,Delhi,Villa,North,Unfurnished,3.4,5.1,Yes,70,"Pool,Gym,Lift,Playground",1.36,2.04,3.46,1.56,6.3,72.4,3.71,4.77,0,3459828,0,677421,137513,26130,Owner,1,2,Mixed,Both,Yes,1,0
5198,1,18,1,34.9,3558,Mumbai,Duplex,North,Semi Furnished,1.3,8.6,Yes,88,"Garden,Security",7.91,1.34,0.15,2.46,4.8,43.1,5.26,9.52,14,2839555,1,965269,22168,92990,Owner,0,3,Concrete,Both,Yes,2,1
561,1,1,4,35.21,12453,Kolkata,Villa,West,Unfurnished,2.5,9.5,No,96,"Playground,Clubhouse,Pool",5.96,5.61,4.7,5.57,1.4,181.5,8.3,9.86,1,2976931,0,1234063,86909,179617,Owner,1,1,Mixed,Borewell,No,0,1
4697,1,46,4,14.08,21584,Bangalore,Duplex,East,Fully Furnished,4.6,5.4,No,63,"Security,Gym",4.94,3.3,4.3,4.14,3.1,160.4,8.46,11.89,0,4402809,1,1752028,164429,53856,Builder,1,4,Mixed,Borewell,No,2,1
2381,1,0,4,4.12,15835,Bhubaneswar,Independent House,West,Unfurnished,4.5,7.3,Yes,52,"Security,Gym,Pool,Garden",10.89,2.36,2.66,7.47,3.5,62.5,6.4,12.17,8,2532286,1,1405262,81697,432633,Owner,0,3,Mixed,Both,Yes,1,1
1395,2,41,1,7.12,5724,Kolkata,Duplex,West,Fully Furnished,2.2,5.9,Yes,91,"Clubhouse,Gym",5.4,4.8,4.07,2.76,1.2,153.1,4.35,14.61,0,2937419,1,1967302,169353,32474,Agent,1,1,Mixed,Both,Yes,0,1
5311,2,37,4,15,21917,Bangalore,Studio,East,Unfurnished,1.9,8.8,Yes,46,"Pool,Clubhouse,Gym",0.86,2.76,1.54,5.59,2.4,87.5,1.25,4.92,9,3924239,1,1558355,193537,67502,Agent,1,2,Concrete,Both,No,2,0
3742,3,12,2,22.79,23449,Mumbai,Duplex,South,Fully Furnished,3.3,3.4,Yes,76,"Pool,Gym,Garden,Security",3.6,5.12,0.7,0.41,1.1,99.5,4.66,14.71,8,659565,1,1091874,196002,32115,Owner,1,4,Brick,Borewell,No,2,0
4951,1,41,2,26.44,28379,Hyderabad,Studio,West,Semi Furnished,1.4,8.8,Yes,43,"Security,Lift",4.73,1.54,0.87,5.48,1.4,155.9,1.49,13.99,5,1031305,0,1062324,155499,261420,Builder,0,2,Concrete,Borewell,Yes,2,1
4198,3,43,2,13.59,13320,Mumbai,Studio,East,Fully Furnished,1.9,5.6,No,97,"Pool,Playground,Clubhouse,Gym",3.13,4.02,1.26,3.41,2.1,32.8,3.5,7.83,3,1151530,0,1986453,49592,463448,Owner,1,3,Concrete,Both,No,2,1
1675,4,23,3,26.87,6693,Pune,Duplex,West,Unfurnished,1.7,5.1,No,75,"Garden,Lift,Pool,Playground",11.57,6.14,1.43,6.83,4,78,4.42,3.99,8,3222768,0,1800235,111024,36598,Builder,0,4,Brick,Both,No,1,0
1416,3,31,1,37.54,17633,Mumbai,Studio,East,Semi Furnished,1.8,9.6,Yes,93,"Clubhouse,Gym",9.28,5.7,2.17,4.97,4.1,159.2,5.3,10.71,13,2392659,1,831439,81990,186954,Agent,1,4,Brick,Borewell,Yes,0,0
737,5,29,3,26.25,27190,Kolkata,Studio,South,Semi Furnished,1.9,3.7,No,81,"Garden,Clubhouse",10.52,6.61,3.48,5.56,8.4,128.8,8.69,8.22,10,2591851,1,450210,103883,425725,Builder,0,1,Mixed,Both,No,0,1
1278,2,5,4,6.76,29986,Mumbai,Independent House,North,Semi Furnished,3.5,1.7,No,37,"Lift,Pool,Gym",8.35,0.25,0.75,6.73,5.9,72.5,1.51,13.92,7,1475909,1,1529526,199072,394439,Agent,1,1,Mixed,Both,Yes,0,1
1476,2,37,1,23.4,23646,Bhubaneswar,Apartment,East,Fully Furnished,3,7,No,67,"Clubhouse,Garden",10.39,6.51,1.08,0.36,1.5,77.6,1.47,1.59,5,1057501,0,1214994,24016,52560,Owner,1,1,Concrete,Municipal,No,0,0
5287,1,32,2,21.9,14710,Kolkata,Independent House,West,Semi Furnished,4.4,3.4,Yes,82,"Lift,Playground,Garden,Gym",10.87,1.76,0.66,7.9,1.4,179.9,8.77,7.49,0,4675664,0,1155833,128027,376057,Owner,1,4,Concrete,Borewell,Yes,2,0
4393,1,43,1,34.89,28957,Delhi,Apartment,West,Unfurnished,3.9,6.8,Yes,39,"Clubhouse,Lift,Garden",11.51,6.62,2.47,1.78,4.1,183.5,7.8,12.18,6,351766,1,1999039,59841,45153,Agent,1,4,Mixed,Borewell,No,2,1
5259,4,22,3,14.34,20248,Delhi,Apartment,South,Semi Furnished,3,1.5,No,69,"Pool,Playground,Clubhouse,Gym",11.78,1.86,3.6,1.58,7,40,1.25,4.98,2,2849711,0,1899293,78444,58405,Builder,1,2,Concrete,Borewell,No,2,1
779,4,9,4,17.21,18324,Mumbai,Independent House,South,Unfurnished,2.2,6.1,No,63,"Gym,Clubhouse",4.48,1.39,2.27,6.42,6,36,8.52,4.5,10,3205470,1,1637810,22833,470912,Builder,1,4,Concrete,Municipal,Yes,0,0
892,5,45,4,24.15,28528,Kolkata,Studio,East,Semi Furnished,4.3,3.1,No,84,"Security,Gym",3.99,4.43,3.75,3.44,2.6,158.4,6.01,9.91,6,4134328,1,1956459,29683,162921,Builder,0,4,Mixed,Municipal,Yes,0,0
5676,1,14,3,21.21,19071,Bangalore,Independent House,North,Fully Furnished,1.3,1.7,No,94,"Garden,Pool",10.98,5.11,2.88,1.68,5.6,145.7,2.49,14.56,8,3323318,0,227395,152952,435002,Owner,0,2,Concrete,Municipal,Yes,2,1
2462,1,22,1,28.9,25684,Bhubaneswar,Studio,West,Semi Furnished,3.7,1.5,Yes,61,"Lift,Pool,Garden,Clubhouse",14.75,6.74,1.65,1.54,8.5,149.8,7.28,1.75,8,1432811,0,1888166,40718,69086,Owner,1,1,Brick,Borewell,Yes,1,1
4284,4,35,3,2.1,14119,Delhi,Independent House,North,Unfurnished,1.5,9.6,No,88,"Security,Playground",11.01,2.18,2.77,1.28,2.8,106.1,7.27,11.33,12,4122134,0,970626,175387,314417,Builder,0,4,Concrete,Both,Yes,2,1
464,4,0,4,22.76,8407,Chennai,Independent House,South,Unfurnished,3.1,3.4,No,69,"Clubhouse,Garden,Playground",7.84,3.22,4.17,3.58,6.6,51.5,8.01,7.69,9,4527941,1,117019,114314,206656,Agent,1,1,Mixed,Both,No,0,1
2968,4,7,2,5.31,6242,Kolkata,Villa,South,Semi Furnished,4.6,6.2,Yes,58,"Garden,Gym,Clubhouse",4.93,4.27,0.95,0.56,9.3,20.3,5.1,1.62,2,4897815,0,1500292,79115,85328,Agent,1,2,Concrete,Municipal,No,1,1
5863,2,2,4,12.95,13699,Pune,Duplex,East,Fully Furnished,2,5.4,No,54,"Pool,Gym,Security",2.42,5.78,2.86,0.18,6.1,55,3.77,4.5,7,3373612,0,1738971,188189,470571,Agent,1,1,Brick,Both,Yes,2,0
5648,3,13,4,26.63,12251,Kolkata,Independent House,South,Semi Furnished,1.3,4.3,Yes,99,"Security,Lift,Gym",8.94,5.49,3.41,6.51,9,166,7.86,7.11,2,106002,1,689848,162595,126429,Builder,0,3,Concrete,Both,Yes,2,0
2427,3,16,1,6.72,24343,Bangalore,Duplex,East,Fully Furnished,2.4,5.9,Yes,62,"Clubhouse,Pool",1.7,6.61,4.53,4.51,2.9,29.4,5.21,4.33,12,4689589,1,245072,83863,203104,Agent,0,4,Concrete,Municipal,Yes,1,1
